,TITO JACKSON,JOSEPH A WILEY,ROBERT CAPPUCCI,MARTIN J WALSH,DONALD OSGOOD SR (WRITE-IN),ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Walsh Percentage of votes,Jackson Percentage of votes,Ward_Precinct,Registered Voters,Turnout,Unnamed: 0,Precinct,Total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,Total.1,White (alone),Black or African American (alone),Hispanic or Latino (alone),American Indian and Alaska Native (alone),Asian (alone),Native Hawaiian and Other Pacific Islander (alone),Some Other Race/Ethnicity (alone),Two or More Races/Ethnicities  (alone),Black Percentage,Native American Percentage,Asian Percentage,Native Hawaiian/Pacific Islander Percentage,Other Race Percentage,Two or more races Percentage,Hispanic Percentage,White Percentage,Ward_Precinct_BallotXTurnout
70,93,2,0,55,0,1,151,0,151,36.42384106,61.58940397,0803,1540,0.09805194805,73,0803,1269,266,715,10,52,0,169,57,1269,180,658,325,6,51,0,21,28,56.34357762,0.7880220646,4.097714736,0,13.31757289,4.491725768,25.6107171,20.96138692,14.80584416
71,55,0,1,57,0,1,114,2,116,49.13793103,47.4137931,0804,695,0.1669064748,74,0804,664,75,392,5,11,0,142,39,664,21,352,239,5,11,0,19,17,59.03614458,0.7530120482,1.656626506,0,21.38554217,5.873493976,35.9939759,11.29518072,19.36115108
72,68,3,4,153,0,2,230,6,236,64.83050847,28.81355932,0805,1298,0.1818181818,75,0805,1638,124,659,8,40,4,613,190,1638,59,610,290,4,38,3,477,157,40.23199023,0.4884004884,2.442002442,0.2442002442,37.42368742,11.5995116,17.7045177,7.57020757,42.90909091
73,22,1,3,49,0,0,75,0,75,65.33333333,29.33333333,0806,476,0.1575630252,76,0806,681,144,214,0,10,0,256,57,681,105,186,115,0,10,0,215,50,31.42437592,0,1.468428781,0,37.5917768,8.370044053,16.88693098,21.14537445,11.81722689
74,58,0,6,53,1,0,118,-1,117,45.2991453,49.57264957,0807,977,0.1197543501,77,0807,1084,183,635,11,10,0,156,89,1084,71,580,326,5,10,0,38,54,58.57933579,1.014760148,0.9225092251,0,14.39114391,8.210332103,30.07380074,16.88191882,14.01125896
75,74,4,6,265,0,2,351,21,372,71.23655914,19.89247312,0901,1894,0.1964097149,78,0901,2092,1030,302,11,436,1,248,64,2092,748,247,633,3,435,0,4,22,14.43594646,0.5258126195,20.84130019,0.04780114723,11.85468451,3.059273423,30.2581262,49.23518164,73.06441394
76,126,6,5,171,0,3,311,0,311,54.98392283,40.51446945,0902,2220,0.1400900901,79,0902,2267,1548,353,4,209,0,93,60,2267,1426,334,249,2,209,0,4,43,15.57123952,0.1764446405,9.219232466,0,4.102337891,2.646669607,10.98367887,68.28407587,43.56801802
77,180,8,5,236,2,2,433,19,452,52.21238938,39.82300885,0903,3040,0.1486842105,80,0903,3652,1396,1415,13,204,3,428,193,3652,1069,1228,1041,8,203,1,18,84,38.74589266,0.3559693319,5.585980285,0.08214676889,11.7196057,5.284775465,28.50492881,38.22562979,67.20526316
78,103,4,3,144,0,1,255,4,259,55.5984556,39.76833977,0904,2123,0.1219971738,81,0904,4580,2516,1102,31,402,0,354,175,4580,2235,981,834,16,401,0,23,90,24.06113537,0.6768558952,8.777292576,0,7.729257642,3.820960699,18.20960699,54.93449782,31.59726802
79,257,11,4,189,0,4,465,2,467,40.47109208,55.03211991,0905,2035,0.2294840295,82,0905,2282,357,1491,29,51,0,211,143,2282,226,1380,507,14,50,0,22,83,65.33742331,1.270815074,2.234881683,0,9.246275197,6.266432954,22.2173532,15.64417178,107.1690418
80,34,1,3,85,0,2,125,0,125,68,27.2,1001,964,0.1296680498,83,1001,888,264,261,11,138,0,172,42,888,159,232,333,9,138,0,0,17,29.39189189,1.238738739,15.54054054,0,19.36936937,4.72972973,37.5,29.72972973,16.20850622
